Gender,Birth Day,height,weight,Allergy,Diet Type,Religion,Meal_Type,Satisfy Score
Female,5/25/2022,194,59,Molluscs,Vegetarianism,Taoism,Minimal,2
Female,5/18/2023,168,131,,Omnivorousness,Sikhism,Balance,2
Female,8/7/2022,183,80,,Vegetarianism,Sikhism,Luxury,5
Male,7/26/2023,199,125,,Pesetarianism,Christianity,Minimal,3
Male,3/23/2023,122,58,,Pesetarianism,Christianity,Balance,5
Male,10/31/2023,115,172,,Pesetarianism,Taoism,Complex,2
Female,5/25/2022,105,151,,Omnivorousness,Sikhism,Minimal,1
Male,6/1/2023,137,155,Celery,Veganism,Buddism,Complex,4
Female,2/19/2022,187,48,Eggs,Omnivorousness,Shinto,Luxury,2
Female,9/18/2022,182,127,Soy,Pesetarianism,Judaism,Minimal,4
Male,9/21/2022,168,156,,Pesetarianism,Taoism,Balance,5
Female,5/11/2023,136,33,,Veganism,Taoism,Balance,4
Male,12/16/2022,138,116,Molluscs,Veganism,Shinto,Complex,1
Male,8/30/2023,200,73,,Pesetarianism,Sikhism,Complex,4
Male,4/17/2023,162,120,,Pesetarianism,Hinduism,Luxury,5
Female,3/9/2022,162,148,Sesame,Pesetarianism,Sikhism,Complex,3
Female,7/21/2023,176,173,Eggs,Pesetarianism,Christianity,Balance,1
Female,2/4/2023,138,174,,Veganism,Shinto,Complex,5
Male,6/8/2023,117,163,Celery,Omnivorousness,Hinduism,Luxury,4
Male,5/23/2022,124,178,,Omnivorousness,Sikhism,Balance,2
Male,6/7/2023,118,180,Lupin,Veganism,Islam,Balance,2
Female,9/3/2022,140,122,Peanuts,Veganism,Judaism,Luxury,5
Male,6/4/2022,121,160,,Veganism,Islam,Complex,1
Male,3/13/2023,159,42,,Omnivorousness,Shinto,Balance,2
Male,6/25/2023,162,170,,Pesetarianism,Taoism,Minimal,3
Male,5/3/2023,154,57,Sulphur Dioxide Sulphites,Vegetarianism,Shinto,Minimal,3
Female,4/25/2023,136,122,,Vegetarianism,Christianity,Balance,3
Female,3/3/2022,196,92,Milk,Veganism,Judaism,Balance,2
Female,2/1/2023,195,88,Gluten,Omnivorousness,Islam,Complex,1
Male,9/28/2022,190,189,,Vegetarianism,Hinduism,Balance,1
Female,10/2/2022,190,134,,Omnivorousness,Judaism,Luxury,2
Male,10/2/2022,182,77,,Omnivorousness,Taoism,Balance,3
Female,3/28/2023,150,32,,Veganism,Hinduism,Minimal,5
Female,8/31/2023,173,39,,Vegetarianism,Christianity,Balance,1
Female,10/4/2023,149,103,,Vegetarianism,Taoism,Balance,3
Male,6/12/2023,173,172,Mustard,Vegetarianism,Islam,Balance,1
Male,5/11/2022,154,33,Lupin,Pesetarianism,Judaism,Balance,5
Female,9/21/2023,151,33,,Omnivorousness,Buddism,Balance,2
Female,4/17/2022,179,144,,Omnivorousness,Islam,Luxury,1
Male,1/2/2023,171,70,,Omnivorousness,Shinto,Balance,1
Female,3/23/2023,138,99,,Vegetarianism,Shinto,Minimal,2
Male,11/26/2023,133,85,,Omnivorousness,Buddism,Balance,5
Male,11/30/2022,126,169,,Pesetarianism,Christianity,Complex,2
Male,3/9/2023,115,102,,Vegetarianism,Hinduism,Balance,4
Male,2/28/2022,160,107,,Vegetarianism,Islam,Complex,2
Female,4/29/2023,108,144,,Omnivorousness,Christianity,Balance,5
Male,6/10/2023,186,128,,Omnivorousness,Sikhism,Balance,1
Female,8/1/2023,148,141,,Omnivorousness,Taoism,Complex,1
Female,6/30/2022,196,66,,Vegetarianism,Taoism,Balance,3
Male,11/1/2022,168,118,,Veganism,Judaism,Luxury,1
Female,11/7/2023,106,137,,Vegetarianism,Buddism,Minimal,1
Female,7/30/2023,133,43,,Veganism,Islam,Minimal,2
Female,2/2/2022,145,107,Mustard,Vegetarianism,Islam,Complex,4
Male,7/27/2023,157,107,Milk,Omnivorousness,Buddism,Luxury,1
Female,7/17/2023,140,170,,Pesetarianism,Judaism,Balance,3
Female,8/24/2023,136,103,,Pesetarianism,Hinduism,Minimal,4
Male,1/18/2023,167,98,,Veganism,Judaism,Minimal,4
Female,6/20/2022,166,184,Milk,Pesetarianism,Islam,Luxury,2
Male,9/6/2023,173,83,Crustaceans,Pesetarianism,Taoism,Minimal,3
Male,11/30/2022,125,182,,Pesetarianism,Taoism,Balance,4
Male,5/14/2023,152,43,,Omnivorousness,Shinto,Luxury,1
Female,9/2/2022,109,146,,Omnivorousness,Buddism,Minimal,1
Male,7/31/2022,143,160,Soy,Vegetarianism,Sikhism,Complex,5
Male,12/2/2023,184,186,Celery,Omnivorousness,Hinduism,Minimal,1
Female,11/20/2022,104,174,,Veganism,Shinto,Complex,3
Female,10/15/2022,134,139,,Veganism,Shinto,Minimal,5
Female,8/7/2023,113,59,,Omnivorousness,Taoism,Minimal,3
Male,12/15/2023,114,164,Gluten,Pesetarianism,Christianity,Luxury,1
Female,11/17/2022,127,177,,Veganism,Sikhism,Complex,2
Male,5/14/2023,135,130,,Veganism,Christianity,Complex,3
Female,10/29/2023,127,172,,Pesetarianism,Islam,Complex,3
Male,2/12/2022,160,43,,Pesetarianism,Hinduism,Balance,5
Female,11/6/2023,117,134,,Omnivorousness,Islam,Complex,2
Male,4/16/2023,104,152,,Pesetarianism,Christianity,Balance,3
Male,5/1/2022,159,109,Sesame,Omnivorousness,Sikhism,Luxury,5
Male,4/30/2023,199,92,Milk,Pesetarianism,Islam,Minimal,3
Male,11/3/2023,190,80,,Omnivorousness,Buddism,Balance,2
Male,4/21/2023,171,45,,Veganism,Shinto,Luxury,2
Male,8/16/2023,103,91,,Omnivorousness,Islam,Balance,1
Female,10/20/2022,139,169,,Pesetarianism,Christianity,Luxury,3
Female,6/24/2022,117,169,,Vegetarianism,Buddism,Balance,5
Male,10/31/2023,137,84,,Pesetarianism,Sikhism,Complex,2
Male,8/9/2022,138,163,,Pesetarianism,Judaism,Minimal,3
Male,2/10/2022,115,59,Lupin,Veganism,Shinto,Minimal,4
Male,7/19/2022,110,88,,Veganism,Buddism,Complex,4
Female,12/16/2023,139,179,,Pesetarianism,Shinto,Complex,5
Female,8/16/2023,114,174,,Omnivorousness,Sikhism,Minimal,4
Male,4/20/2023,128,92,Mustard,Pesetarianism,Hinduism,Complex,2
Male,5/25/2023,134,99,Peanuts,Vegetarianism,Hinduism,Luxury,2
Female,9/17/2023,134,190,,Omnivorousness,Judaism,Complex,5
Female,4/20/2022,104,160,,Vegetarianism,Judaism,Balance,2
Male,3/7/2022,101,34,Celery,Vegetarianism,Shinto,Complex,1
Male,12/1/2022,121,52,,Omnivorousness,Islam,Luxury,2
Female,4/19/2023,194,153,,Veganism,Hinduism,Minimal,3
Female,6/10/2023,184,146,,Omnivorousness,Hinduism,Balance,5
Female,8/4/2022,160,182,,Veganism,Taoism,Luxury,3
Female,3/16/2023,190,184,,Vegetarianism,Buddism,Complex,5
Male,7/30/2023,186,145,,Omnivorousness,Judaism,Minimal,3
Male,12/24/2022,174,87,,Pesetarianism,Shinto,Minimal,4
Female,6/11/2022,128,100,Gluten,Vegetarianism,Shinto,Minimal,5
Female,11/2/2023,194,99,,Pesetarianism,Christianity,Luxury,4
Male,12/6/2022,187,81,,Pesetarianism,Hinduism,Complex,5
Male,3/16/2023,159,123,,Vegetarianism,Shinto,Complex,2
Female,8/11/2022,126,67,,Veganism,Judaism,Minimal,5
Female,11/16/2023,109,47,,Omnivorousness,Buddism,Balance,1
Female,10/11/2022,199,176,,Pesetarianism,Buddism,Balance,4
Male,3/17/2023,153,166,,Pesetarianism,Islam,Balance,3
Female,8/30/2022,135,103,,Omnivorousness,Shinto,Balance,1
Female,10/19/2022,171,145,Peanuts,Pesetarianism,Christianity,Complex,4
Female,9/24/2022,178,150,Peanuts,Veganism,Taoism,Minimal,2
Female,2/18/2022,190,61,,Omnivorousness,Islam,Balance,1
Female,9/28/2022,183,38,Milk,Veganism,Christianity,Complex,5
Male,4/13/2023,110,117,Milk,Omnivorousness,Shinto,Luxury,1
Male,9/20/2023,155,188,Sesame,Vegetarianism,Shinto,Luxury,5
Male,5/10/2023,106,62,Lupin,Veganism,Shinto,Complex,5
Female,7/25/2023,177,168,,Vegetarianism,Taoism,Minimal,4
Female,4/15/2022,131,179,,Pesetarianism,Sikhism,Complex,2
Male,10/11/2022,176,146,,Veganism,Christianity,Minimal,2
Female,3/21/2022,113,109,,Omnivorousness,Hinduism,Luxury,3
Female,10/18/2023,163,59,Crustaceans,Vegetarianism,Taoism,Minimal,2
Male,4/6/2022,121,34,,Pesetarianism,Hinduism,Minimal,1
Male,7/4/2023,135,95,Fish,Vegetarianism,Buddism,Minimal,5
Female,2/18/2023,143,151,Sesame,Veganism,Islam,Balance,2
Male,10/5/2023,109,167,,Pesetarianism,Shinto,Luxury,2
Male,4/21/2023,183,83,,Omnivorousness,Taoism,Complex,4
Male,5/31/2022,184,44,Peanuts,Vegetarianism,Taoism,Luxury,3
Female,10/26/2023,143,107,,Veganism,Judaism,Complex,3
Female,6/28/2022,134,102,Lupin,Veganism,Taoism,Balance,4
Male,11/6/2022,118,51,,Pesetarianism,Taoism,Complex,1
Female,7/20/2023,107,46,,Omnivorousness,Taoism,Minimal,4
Male,4/20/2022,131,174,,Pesetarianism,Taoism,Luxury,1
Male,8/10/2023,166,126,,Pesetarianism,Sikhism,Balance,2
Male,2/17/2023,100,131,,Omnivorousness,Taoism,Complex,2
Male,7/6/2023,104,93,,Omnivorousness,Islam,Balance,3
Female,12/23/2022,138,90,,Veganism,Taoism,Balance,5
Female,5/2/2022,159,123,,Omnivorousness,Judaism,Complex,1
Female,8/17/2022,144,163,Mustard,Veganism,Sikhism,Minimal,2
Female,7/27/2022,119,100,,Omnivorousness,Taoism,Complex,1
Male,3/1/2022,123,38,Soy,Vegetarianism,Sikhism,Minimal,3
Male,8/23/2022,184,180,Fish,Vegetarianism,Taoism,Complex,1
Female,10/2/2023,175,135,,Omnivorousness,Judaism,Minimal,2
Female,10/8/2023,134,62,,Omnivorousness,Taoism,Balance,4
Male,12/20/2022,149,77,Tree Nuts,Pesetarianism,Shinto,Balance,5
Male,7/11/2022,138,37,Soy,Veganism,Buddism,Complex,3
Male,12/29/2022,124,126,Fish,Omnivorousness,Christianity,Balance,3
Female,2/27/2022,152,43,Tree Nuts,Veganism,Sikhism,Balance,5
Female,9/23/2022,143,178,,Pesetarianism,Christianity,Minimal,2
Male,10/9/2022,173,66,,Veganism,Hinduism,Complex,2
Female,9/12/2022,191,130,,Veganism,Buddism,Balance,4
Female,4/3/2023,124,65,,Pesetarianism,Christianity,Balance,2
Female,10/14/2022,159,49,Milk,Omnivorousness,Judaism,Complex,2
Female,9/8/2023,140,84,,Veganism,Christianity,Balance,1
Male,6/4/2022,135,54,Fish,Omnivorousness,Christianity,Minimal,1
Female,10/10/2022,129,48,,Omnivorousness,Shinto,Luxury,2
Male,3/2/2023,180,180,Lupin,Omnivorousness,Islam,Minimal,2
Female,10/1/2022,154,56,,Pesetarianism,Buddism,Complex,5
Male,1/4/2023,172,187,,Vegetarianism,Hinduism,Balance,3
Male,1/8/2023,196,161,,Pesetarianism,Christianity,Complex,5
Female,5/26/2022,165,94,Celery,Pesetarianism,Buddism,Complex,1
Male,7/1/2023,113,143,Sulphur Dioxide Sulphites,Veganism,Buddism,Balance,4
Male,4/5/2022,183,65,Fish,Vegetarianism,Islam,Balance,4
Male,3/28/2022,126,155,Mustard,Vegetarianism,Buddism,Luxury,5
Female,3/11/2023,103,170,,Omnivorousness,Buddism,Minimal,4
Male,10/27/2023,151,81,,Omnivorousness,Judaism,Minimal,2
Male,1/19/2023,102,37,Lupin,Pesetarianism,Hinduism,Minimal,5
Male,6/19/2023,102,82,,Veganism,Hinduism,Luxury,2
Female,5/19/2022,113,84,,Vegetarianism,Judaism,Balance,5
Female,11/11/2022,124,125,,Omnivorousness,Hinduism,Minimal,5
Male,12/22/2022,124,171,,Omnivorousness,Sikhism,Minimal,4
Female,9/22/2022,184,58,,Veganism,Islam,Complex,5
Male,11/24/2022,134,71,,Vegetarianism,Judaism,Complex,4
Male,9/14/2023,181,51,,Veganism,Buddism,Complex,5
Male,12/1/2023,155,44,Mustard,Veganism,Taoism,Luxury,2
Male,2/21/2022,130,143,,Omnivorousness,Buddism,Luxury,4
Female,5/8/2023,123,169,,Pesetarianism,Judaism,Minimal,4
Male,8/24/2022,110,68,,Vegetarianism,Buddism,Complex,4
Male,2/26/2023,189,32,,Veganism,Judaism,Minimal,4
Male,11/19/2022,170,60,Gluten,Omnivorousness,Islam,Balance,2
Male,10/24/2023,127,190,Molluscs,Veganism,Taoism,Luxury,3
Male,11/22/2022,142,52,Fish,Veganism,Buddism,Complex,3
Male,11/11/2023,135,81,Celery,Pesetarianism,Christianity,Balance,4
Female,8/10/2023,117,58,,Veganism,Islam,Luxury,2
Male,7/10/2023,198,134,Sesame,Vegetarianism,Hinduism,Complex,4
Female,1/8/2023,119,55,,Omnivorousness,Judaism,Minimal,3
Female,11/10/2022,106,190,,Vegetarianism,Taoism,Balance,5
