Gender,Birth Day,height,weight,Allergy,Diet Type,Religion,Meal_Type,Satisfy Score
Male,12/6/2023,131,147,,Veganism,Shinto,Complex,5
Female,12/29/2022,171,57,,Vegetarianism,Shinto,Luxury,5
Female,10/11/2023,146,57,,Omnivorousness,Christianity,Luxury,1
Female,9/18/2023,131,141,,Pesetarianism,Judaism,Complex,1
Female,9/11/2023,152,88,,Omnivorousness,Sikhism,Luxury,1
Male,6/12/2022,129,39,,Omnivorousness,Sikhism,Minimal,4
Female,11/1/2023,150,62,,Pesetarianism,Hinduism,Luxury,5
Male,12/10/2023,155,38,Gluten,Pesetarianism,Sikhism,Minimal,4
Female,12/7/2022,153,65,,Veganism,Shinto,Luxury,1
Male,3/1/2022,176,65,,Pesetarianism,Shinto,Minimal,2
Female,6/10/2022,157,150,Tree Nuts,Vegetarianism,Sikhism,Minimal,5
Male,1/4/2023,195,95,,Vegetarianism,Sikhism,Minimal,1
Male,11/6/2023,154,184,Fish,Omnivorousness,Sikhism,Luxury,1
Male,2/19/2023,122,96,Mustard,Veganism,Buddism,Minimal,3
Female,7/8/2022,133,158,Celery,Pesetarianism,Christianity,Complex,2
Female,3/20/2022,106,113,,Vegetarianism,Buddism,Complex,2
Male,3/4/2023,124,183,Molluscs,Omnivorousness,Hinduism,Minimal,5
Female,5/5/2023,169,90,Sulphur Dioxide Sulphites,Pesetarianism,Judaism,Minimal,2
Male,10/28/2022,114,98,Sesame,Vegetarianism,Hinduism,Minimal,1
Male,6/26/2022,125,71,,Vegetarianism,Taoism,Balance,2
Male,4/2/2022,182,129,,Vegetarianism,Judaism,Luxury,2
Female,11/22/2023,159,155,,Veganism,Judaism,Minimal,3
Female,8/3/2022,173,105,,Omnivorousness,Shinto,Balance,3
Male,11/10/2022,113,40,,Pesetarianism,Sikhism,Luxury,2
Male,12/20/2022,143,173,,Omnivorousness,Islam,Luxury,5
Female,2/17/2023,141,146,Gluten,Omnivorousness,Buddism,Minimal,4
Female,6/14/2022,155,151,,Pesetarianism,Islam,Complex,4
Female,6/12/2022,178,100,,Vegetarianism,Hinduism,Luxury,2
Female,2/1/2022,188,175,,Veganism,Sikhism,Balance,2
Male,6/1/2022,197,147,,Pesetarianism,Shinto,Minimal,5
Female,1/18/2023,161,166,,Veganism,Hinduism,Minimal,1
Male,10/30/2022,107,81,Gluten,Omnivorousness,Hinduism,Minimal,1
Female,5/18/2022,144,185,,Veganism,Sikhism,Complex,4
Male,8/10/2022,126,46,,Pesetarianism,Sikhism,Complex,4
Female,6/6/2022,150,129,,Omnivorousness,Christianity,Complex,1
Female,6/30/2022,175,77,Sulphur Dioxide Sulphites,Omnivorousness,Hinduism,Minimal,5
Female,10/25/2022,155,130,Mustard,Pesetarianism,Christianity,Complex,2
Female,5/20/2022,153,86,Crustaceans,Veganism,Judaism,Minimal,3
Male,5/25/2023,164,45,Sesame,Pesetarianism,Sikhism,Complex,3
