Gender,Birth Day,height,weight,Allergy,Diet Type,Religion,Meal_Type,Satisfy Score
Female,12/9/2022,170,130,Soy,Omnivorousness,Islam,Luxury,4
Male,10/13/2023,143,119,,Omnivorousness,Taoism,Complex,2
Female,11/24/2023,198,76,Crustaceans,Omnivorousness,Sikhism,Balance,3
Female,2/7/2022,104,160,,Pesetarianism,Buddism,Minimal,3
Female,2/8/2022,161,147,Peanuts,Pesetarianism,Christianity,Minimal,3
Male,2/10/2023,105,47,Eggs,Pesetarianism,Hinduism,Balance,1
Female,9/11/2022,131,185,Lupin,Veganism,Shinto,Balance,3
Female,9/2/2022,174,127,,Omnivorousness,Judaism,Luxury,3
Male,8/17/2022,134,81,,Veganism,Shinto,Balance,3
Female,12/29/2022,191,106,,Pesetarianism,Hinduism,Luxury,3
Male,5/8/2022,157,90,,Vegetarianism,Christianity,Complex,1
Male,3/11/2022,181,128,,Pesetarianism,Islam,Minimal,2
Female,6/25/2022,184,131,,Omnivorousness,Judaism,Luxury,5
Female,4/1/2022,183,156,,Vegetarianism,Sikhism,Complex,4
Male,7/29/2022,189,138,,Pesetarianism,Judaism,Minimal,5
Male,11/3/2022,139,65,,Pesetarianism,Shinto,Minimal,3
Male,3/3/2022,175,115,,Vegetarianism,Islam,Luxury,1
Male,6/21/2023,135,105,,Veganism,Sikhism,Complex,4
Female,11/9/2023,168,62,,Veganism,Taoism,Complex,1
Male,9/2/2023,192,181,,Omnivorousness,Taoism,Minimal,1
Female,6/13/2023,165,53,,Pesetarianism,Taoism,Complex,3
Female,6/19/2023,106,148,Lupin,Pesetarianism,Sikhism,Luxury,5
Male,9/1/2022,128,140,Milk,Vegetarianism,Judaism,Minimal,2
Male,9/7/2022,103,56,,Omnivorousness,Buddism,Minimal,4
Female,2/9/2023,173,189,Sulphur Dioxide Sulphites,Omnivorousness,Sikhism,Luxury,1
Male,11/8/2022,127,87,Lupin,Veganism,Taoism,Minimal,3
Male,10/31/2023,144,89,Tree Nuts,Omnivorousness,Judaism,Minimal,2
Female,10/24/2022,194,172,Sesame,Pesetarianism,Sikhism,Complex,5
Female,4/19/2022,158,52,Molluscs,Veganism,Islam,Luxury,2
Male,4/19/2022,113,105,,Omnivorousness,Sikhism,Luxury,1
Female,9/1/2023,104,156,,Pesetarianism,Christianity,Balance,1
Male,3/10/2022,142,58,,Veganism,Taoism,Luxury,5
Female,2/27/2023,189,105,,Veganism,Hinduism,Minimal,5
Female,11/26/2022,197,147,,Omnivorousness,Taoism,Luxury,5
Male,10/11/2023,137,165,Tree Nuts,Omnivorousness,Hinduism,Minimal,2
Female,9/30/2022,158,54,Eggs,Veganism,Taoism,Luxury,3
Female,11/14/2023,114,113,Lupin,Pesetarianism,Sikhism,Balance,5
Male,10/28/2022,105,159,,Omnivorousness,Sikhism,Balance,2
Female,3/3/2022,195,124,,Vegetarianism,Shinto,Luxury,4
Male,10/5/2022,199,78,Sulphur Dioxide Sulphites,Veganism,Christianity,Luxury,5
Female,12/7/2023,102,152,,Veganism,Sikhism,Balance,4
Female,7/19/2023,125,97,Soy,Veganism,Sikhism,Minimal,4
Female,11/19/2023,148,59,,Vegetarianism,Christianity,Balance,3
Female,5/13/2023,128,106,,Pesetarianism,Sikhism,Complex,2
Female,8/4/2023,186,185,Mustard,Omnivorousness,Sikhism,Luxury,3
Female,12/30/2022,190,67,,Pesetarianism,Judaism,Complex,3
Male,5/18/2023,162,140,Sulphur Dioxide Sulphites,Pesetarianism,Christianity,Complex,3
Female,10/7/2023,163,60,,Vegetarianism,Shinto,Luxury,4
Female,9/12/2022,113,73,Tree Nuts,Pesetarianism,Islam,Balance,3
Female,1/13/2023,103,143,,Vegetarianism,Islam,Luxury,3
Male,6/4/2023,161,78,,Omnivorousness,Buddism,Balance,3
Male,5/17/2023,108,118,Crustaceans,Veganism,Hinduism,Minimal,2
Male,5/5/2023,162,58,,Veganism,Buddism,Minimal,4
Male,3/20/2022,142,57,,Veganism,Buddism,Luxury,4
Male,3/29/2023,130,144,Lupin,Omnivorousness,Buddism,Minimal,1
Female,2/2/2023,132,65,,Veganism,Islam,Balance,4
Female,11/18/2022,176,85,,Vegetarianism,Sikhism,Minimal,2
Male,6/12/2022,100,50,,Omnivorousness,Taoism,Balance,4
Male,6/29/2022,185,35,,Veganism,Taoism,Luxury,4
Male,11/3/2022,100,57,,Pesetarianism,Islam,Complex,3
Male,6/14/2023,174,156,Fish,Omnivorousness,Shinto,Balance,4
Male,10/5/2023,135,149,,Veganism,Shinto,Balance,3
Male,2/7/2022,115,139,,Vegetarianism,Buddism,Balance,3
Female,10/10/2023,113,116,,Vegetarianism,Sikhism,Minimal,3
Male,3/1/2023,162,66,,Omnivorousness,Buddism,Minimal,5
Male,10/22/2023,142,65,,Veganism,Taoism,Luxury,1
Male,6/24/2023,101,68,,Veganism,Shinto,Minimal,4
Male,9/20/2022,145,34,,Veganism,Taoism,Complex,1
Male,11/14/2023,184,181,,Pesetarianism,Islam,Minimal,3
Female,6/28/2022,173,123,,Omnivorousness,Islam,Complex,4
Female,11/6/2023,160,184,,Vegetarianism,Hinduism,Complex,4
Female,10/23/2022,155,187,,Omnivorousness,Sikhism,Luxury,5
Female,9/23/2022,143,179,,Vegetarianism,Christianity,Minimal,3
Female,6/4/2022,187,186,,Veganism,Shinto,Balance,3
Male,9/26/2022,194,161,,Omnivorousness,Christianity,Balance,5
Female,7/12/2022,119,69,,Vegetarianism,Christianity,Minimal,5
Male,9/17/2022,119,47,,Vegetarianism,Judaism,Balance,2
Male,7/12/2022,154,108,,Pesetarianism,Buddism,Balance,1
Male,12/4/2022,122,123,Milk,Vegetarianism,Sikhism,Minimal,2
Male,4/22/2022,130,189,,Vegetarianism,Sikhism,Minimal,5
Female,12/17/2022,129,188,Crustaceans,Pesetarianism,Sikhism,Complex,2
Female,8/20/2022,177,76,,Pesetarianism,Islam,Balance,1
Male,1/15/2023,183,66,,Pesetarianism,Christianity,Minimal,5
Male,11/6/2023,183,128,,Vegetarianism,Taoism,Luxury,3
Female,7/22/2022,101,104,,Veganism,Taoism,Complex,2
Female,10/2/2023,119,77,,Pesetarianism,Judaism,Balance,2
Male,11/9/2023,153,117,,Vegetarianism,Taoism,Complex,3
Female,3/13/2022,194,77,,Vegetarianism,Judaism,Complex,4
Male,4/22/2023,198,155,,Pesetarianism,Hinduism,Balance,2
Female,10/22/2023,158,48,,Vegetarianism,Judaism,Minimal,2
Male,3/21/2022,108,61,,Pesetarianism,Buddism,Balance,2
Female,4/6/2022,152,149,Soy,Vegetarianism,Hinduism,Minimal,5
Female,6/8/2023,198,93,Celery,Veganism,Taoism,Balance,1
Male,5/22/2022,147,175,,Veganism,Taoism,Minimal,3
Female,10/23/2023,190,66,,Veganism,Buddism,Luxury,4
Male,2/1/2022,139,91,Milk,Vegetarianism,Islam,Complex,2
Female,2/17/2023,183,69,Lupin,Pesetarianism,Taoism,Balance,5
Male,6/15/2023,101,120,Crustaceans,Pesetarianism,Buddism,Minimal,2
Female,10/21/2022,141,148,,Vegetarianism,Hinduism,Balance,3
Female,5/25/2023,186,110,Sulphur Dioxide Sulphites,Vegetarianism,Taoism,Balance,3
Male,3/19/2023,122,64,,Vegetarianism,Islam,Complex,1
Female,8/8/2023,130,53,Lupin,Vegetarianism,Sikhism,Complex,5
Female,11/30/2022,119,51,,Pesetarianism,Christianity,Luxury,3
Female,2/13/2023,140,149,,Pesetarianism,Taoism,Minimal,3
Female,11/4/2022,151,102,Mustard,Veganism,Christianity,Complex,1
Male,10/3/2023,162,150,,Veganism,Christianity,Balance,3
Male,2/13/2022,134,137,Gluten,Veganism,Sikhism,Balance,2
Female,8/16/2023,133,179,,Pesetarianism,Hinduism,Minimal,3
Female,12/20/2023,154,141,,Vegetarianism,Christianity,Balance,4
Female,10/4/2022,140,90,,Vegetarianism,Shinto,Complex,1
Male,8/9/2022,150,106,,Vegetarianism,Sikhism,Minimal,1
Female,8/27/2023,171,35,,Omnivorousness,Buddism,Complex,3
Male,6/23/2023,109,152,,Vegetarianism,Taoism,Balance,2
Female,11/19/2023,108,127,,Omnivorousness,Buddism,Minimal,3
Male,3/6/2022,189,69,,Omnivorousness,Judaism,Balance,2
Male,8/4/2023,169,110,,Omnivorousness,Christianity,Balance,4
Male,2/4/2023,108,130,Eggs,Veganism,Judaism,Complex,3
Female,1/20/2023,169,183,,Veganism,Taoism,Balance,2
Female,9/29/2023,150,183,,Vegetarianism,Judaism,Complex,1
Female,1/21/2023,194,185,Milk,Veganism,Taoism,Luxury,2
Male,10/2/2022,179,33,Peanuts,Pesetarianism,Judaism,Complex,3
Female,9/19/2023,159,139,,Pesetarianism,Hinduism,Minimal,4
Male,5/12/2022,132,165,,Omnivorousness,Taoism,Minimal,4
Male,4/21/2023,115,151,,Vegetarianism,Shinto,Balance,3
Female,2/27/2023,122,138,,Pesetarianism,Judaism,Balance,4
Female,11/19/2022,167,86,,Pesetarianism,Judaism,Complex,2
Female,3/16/2022,160,37,,Omnivorousness,Christianity,Minimal,3
Female,11/12/2022,191,159,,Veganism,Taoism,Luxury,5
Female,5/4/2022,110,186,,Veganism,Shinto,Complex,1
Female,12/13/2022,144,131,Mustard,Veganism,Buddism,Balance,5
Female,10/5/2022,121,94,,Veganism,Buddism,Complex,2
Male,12/3/2023,133,63,,Pesetarianism,Hinduism,Minimal,1
Male,10/12/2023,200,48,Eggs,Vegetarianism,Sikhism,Luxury,2
Female,3/23/2023,109,54,,Vegetarianism,Shinto,Balance,4
Male,5/21/2022,111,184,,Pesetarianism,Christianity,Minimal,1
Male,3/5/2023,135,187,,Omnivorousness,Christianity,Minimal,5
Male,4/28/2023,148,130,Mustard,Pesetarianism,Sikhism,Complex,5
Female,8/2/2023,123,83,,Veganism,Shinto,Minimal,5
Female,2/18/2022,104,91,,Vegetarianism,Taoism,Balance,4
Female,5/5/2022,127,160,Tree Nuts,Pesetarianism,Shinto,Luxury,5
Female,4/17/2023,196,48,Mustard,Pesetarianism,Sikhism,Complex,4
Female,6/18/2023,112,54,,Pesetarianism,Christianity,Balance,2
Female,9/5/2022,186,166,Celery,Pesetarianism,Judaism,Minimal,2
Female,2/19/2022,102,42,,Vegetarianism,Islam,Complex,1
Male,8/8/2023,171,107,,Vegetarianism,Judaism,Minimal,1
Female,7/8/2022,135,88,,Pesetarianism,Islam,Complex,4
Female,5/4/2022,149,85,,Vegetarianism,Sikhism,Complex,3
Female,10/10/2022,115,72,,Vegetarianism,Judaism,Minimal,5
Male,9/12/2023,133,96,Gluten,Veganism,Christianity,Balance,4
Male,6/18/2022,138,159,Fish,Vegetarianism,Christianity,Balance,4
Female,2/13/2023,127,176,,Veganism,Islam,Balance,5
Female,7/7/2022,191,137,,Vegetarianism,Hinduism,Minimal,4
Female,11/25/2023,142,178,,Omnivorousness,Hinduism,Complex,5
Female,3/25/2023,140,150,,Omnivorousness,Islam,Complex,2
Female,7/21/2022,176,125,Crustaceans,Omnivorousness,Islam,Complex,3
Male,7/22/2022,181,78,Milk,Omnivorousness,Sikhism,Balance,5
Female,4/24/2023,198,123,,Pesetarianism,Judaism,Luxury,1
Female,5/26/2023,138,71,Molluscs,Vegetarianism,Christianity,Luxury,1
Female,9/18/2022,145,91,,Veganism,Hinduism,Balance,4
Male,8/13/2022,160,102,,Veganism,Hinduism,Minimal,2
Male,4/12/2022,132,90,,Vegetarianism,Buddism,Luxury,1
Male,6/21/2022,105,106,,Veganism,Judaism,Balance,3
Male,5/15/2023,113,137,,Veganism,Sikhism,Minimal,1
Female,4/11/2022,113,79,,Vegetarianism,Buddism,Luxury,1
Male,3/2/2022,105,59,Eggs,Veganism,Hinduism,Complex,4
Female,9/1/2023,114,185,Soy,Vegetarianism,Islam,Balance,2
Female,6/11/2023,154,175,,Veganism,Buddism,Complex,5
Male,7/10/2022,109,130,,Veganism,Buddism,Minimal,3
Male,5/17/2023,128,37,,Veganism,Buddism,Complex,5
Male,10/8/2023,154,94,Lupin,Pesetarianism,Hinduism,Minimal,4
Male,4/4/2022,149,51,,Veganism,Shinto,Complex,5
Male,7/5/2023,124,39,,Omnivorousness,Hinduism,Complex,3
Male,7/2/2023,101,41,,Pesetarianism,Shinto,Minimal,3
Male,6/8/2022,190,81,,Omnivorousness,Buddism,Balance,1
Male,11/2/2023,152,148,,Omnivorousness,Sikhism,Balance,4
