Gender,Birth Day,height,weight,Allergy,Diet Type,Religion,Meal_Type,Satisfy Score
Male,9/9/2022,125,46,Molluscs,Omnivorousness,Christianity,Luxury,3
Male,3/7/2023,115,57,,Pesetarianism,Buddism,Complex,3
Female,5/23/2023,113,59,Fish,Vegetarianism,Christianity,Luxury,1
Female,2/27/2022,199,135,,Pesetarianism,Judaism,Complex,5
Female,5/26/2022,149,112,,Vegetarianism,Islam,Complex,5
Male,7/18/2022,159,84,Crustaceans,Omnivorousness,Judaism,Minimal,2
Female,10/4/2022,192,46,,Pesetarianism,Hinduism,Balance,1
Female,2/22/2022,131,160,Molluscs,Veganism,Hinduism,Complex,5
Male,2/15/2023,181,73,,Omnivorousness,Buddism,Balance,2
Female,1/2/2023,117,64,Peanuts,Pesetarianism,Shinto,Balance,5
Female,2/23/2022,170,110,,Pesetarianism,Taoism,Minimal,2
Male,6/15/2023,148,177,,Pesetarianism,Hinduism,Luxury,4
Female,10/22/2022,128,92,,Pesetarianism,Hinduism,Luxury,4
Female,9/10/2023,183,99,,Pesetarianism,Buddism,Luxury,1
Female,7/2/2022,164,53,,Vegetarianism,Shinto,Minimal,4
Male,2/25/2022,126,129,,Vegetarianism,Buddism,Minimal,3
Male,6/14/2023,104,122,,Omnivorousness,Sikhism,Minimal,1
Female,4/22/2023,122,120,Crustaceans,Vegetarianism,Islam,Minimal,4
Female,2/13/2022,187,161,,Vegetarianism,Islam,Luxury,4
Male,11/26/2022,161,173,,Pesetarianism,Islam,Luxury,2
Female,2/2/2022,126,119,,Vegetarianism,Shinto,Balance,1
Male,7/9/2023,144,170,,Omnivorousness,Taoism,Luxury,1
Female,8/30/2022,139,125,,Veganism,Sikhism,Minimal,3
Female,8/5/2022,145,57,,Omnivorousness,Buddism,Minimal,1
Female,5/10/2022,134,141,,Pesetarianism,Sikhism,Balance,5
Female,5/4/2023,139,141,,Veganism,Buddism,Minimal,4
Male,8/4/2022,182,111,,Pesetarianism,Buddism,Minimal,3
Male,3/20/2023,163,118,,Veganism,Christianity,Balance,2
Female,11/23/2023,130,66,,Pesetarianism,Sikhism,Balance,5
Female,4/20/2023,175,32,,Pesetarianism,Buddism,Balance,4
Male,11/14/2022,131,140,Lupin,Veganism,Buddism,Complex,2
Male,6/10/2023,164,161,,Pesetarianism,Sikhism,Balance,1
Female,3/3/2023,123,176,,Vegetarianism,Christianity,Complex,3
Female,8/8/2022,162,156,,Pesetarianism,Christianity,Luxury,4
Female,8/26/2023,128,108,,Veganism,Taoism,Luxury,5
Male,2/19/2022,199,71,,Pesetarianism,Hinduism,Minimal,5
Female,8/14/2022,138,154,,Vegetarianism,Judaism,Complex,3
Male,8/9/2022,133,132,,Pesetarianism,Judaism,Balance,2
Female,12/6/2022,191,126,Tree Nuts,Omnivorousness,Buddism,Balance,1
Male,10/1/2022,174,126,Celery,Pesetarianism,Hinduism,Complex,2
Female,1/26/2023,112,175,,Pesetarianism,Hinduism,Balance,3
Male,4/10/2023,133,138,,Omnivorousness,Taoism,Minimal,3
Male,9/20/2023,162,103,,Veganism,Taoism,Luxury,4
Female,12/18/2023,130,129,,Veganism,Buddism,Complex,5
Male,5/28/2022,195,136,,Omnivorousness,Judaism,Luxury,2
Female,11/4/2023,173,46,,Veganism,Christianity,Balance,1
Male,10/23/2023,138,156,Fish,Omnivorousness,Buddism,Luxury,5
Female,1/23/2023,130,101,Celery,Omnivorousness,Taoism,Minimal,5
Female,4/4/2023,107,33,,Pesetarianism,Islam,Balance,2
Female,7/27/2023,118,134,,Veganism,Judaism,Balance,4
Female,10/18/2023,200,106,Peanuts,Omnivorousness,Buddism,Complex,4
Female,7/31/2023,182,45,,Omnivorousness,Judaism,Minimal,1
Female,2/26/2023,127,175,,Vegetarianism,Shinto,Complex,4
Female,4/27/2022,115,187,Eggs,Pesetarianism,Christianity,Luxury,5
Female,9/5/2022,195,87,,Pesetarianism,Taoism,Complex,2
